sheet,concentration_mM,t_min,t_max,mean_dydt0,std_dydt0,n_trials
12_05,0.25,0.005,20,-0.018836143239870665,0.0004946708836508967,3
12_05,0.25,0.005,30,-0.01686611484470856,0.00040628248285635223,3
12_05,0.25,0.005,40,-0.015588415023450292,0.0009568119172953765,3
12_05,0.25,0.005,50,-0.014671308377741006,0.0009265855600693817,3
12_05,0.25,0.005,60,-0.013600491971320084,0.0010074995469483733,3
12_05,0.25,0.01,20,-0.018728213971255396,0.0005804850841086469,3
12_05,0.25,0.01,30,-0.01677242238306781,0.0004472625119971069,3
12_05,0.25,0.01,40,-0.015503732317401764,0.0009552134246665773,3
12_05,0.25,0.01,50,-0.0146020426495543,0.0009042695540206114,3
12_05,0.25,0.01,60,-0.013545714688374006,0.0009776832410900028,3
12_05,0.25,0.02,20,-0.018470129577042714,0.0005254592234986222,3
12_05,0.25,0.02,30,-0.016559600220826424,0.0004809149390524082,3
12_05,0.25,0.02,40,-0.015321873872705153,0.0009763588830062896,3
12_05,0.25,0.02,50,-0.014463189688084513,0.0008908749383191081,3
12_05,0.25,0.02,60,-0.013442264313579276,0.0009613335334680367,3
12_05,0.25,0.05,20,-0.018187033825519172,0.0005110389918372785,3
12_05,0.25,0.05,30,-0.016241815191380644,0.0005492184526839477,3
12_05,0.25,0.05,40,-0.015019486502793238,0.0010200092710669346,3
12_05,0.25,0.05,50,-0.014213868015170847,0.0008700506980869731,3
12_05,0.25,0.05,60,-0.013240071922501219,0.0009330195688528525,3
12_05,0.25,0.1,20,-0.017890452513859886,0.0005854011000965963,3
12_05,0.25,0.1,30,-0.015828618534697254,0.0006376368348395548,3
12_05,0.25,0.1,40,-0.01462199956347826,0.0010565608177822983,3
12_05,0.25,0.1,50,-0.01387643936397865,0.0008308175859385337,3
12_05,0.25,0.1,60,-0.012957423032363781,0.0008911323535002434,3
12_05,0.25,0.2,20,-0.01729844046332502,0.0007953591540023702,3
12_05,0.25,0.2,30,-0.015013606665263057,0.0007659361263397884,3
12_05,0.25,0.2,40,-0.013915580851121712,0.0010402757604895253,3
12_05,0.25,0.2,50,-0.01328246643184248,0.0007369642062932271,3
12_05,0.25,0.2,60,-0.012455671246046157,0.0008169718792009272,3
12_05,0.5,0.005,20,-0.021277043207058036,0.0002974356627839913,3
12_05,0.5,0.005,30,-0.020281351448795528,0.00027698437670653443,3
12_05,0.5,0.005,40,-0.018960575904628536,0.0003540628580318239,3
12_05,0.5,0.005,50,-0.014909199794756458,0.0010498869091483947,3
12_05,0.5,0.005,60,-0.01355304276685676,0.0009583414011208901,3
12_05,0.5,0.01,20,-0.02105193375030288,0.0003192133414006406,3
12_05,0.5,0.01,30,-0.02009283013309948,0.0002912412737969542,3
12_05,0.5,0.01,40,-0.01878347872051048,0.00037884744603650046,3
12_05,0.5,0.01,50,-0.014817297767386379,0.0010359983792576411,3
12_05,0.5,0.01,60,-0.01350356402255276,0.0009479517159044044,3
12_05,0.5,0.02,20,-0.02070416260402999,0.00042311885825138933,3
12_05,0.5,0.02,30,-0.01979526448600039,0.0003672794446435695,3
12_05,0.5,0.02,40,-0.01849656660255183,0.0004444470722144258,3
12_05,0.5,0.02,50,-0.014664846326361175,0.001029346111882007,3
12_05,0.5,0.02,60,-0.01341901572958428,0.0009390273410254508,3
12_05,0.5,0.05,20,-0.020442566698973517,0.0003271728115869093,3
12_05,0.5,0.05,30,-0.01952243564032566,0.00029670623340023066,3
12_05,0.5,0.05,40,-0.01816412322457927,0.00043215166786824875,3
12_05,0.5,0.05,50,-0.014400293527346836,0.0009624829011882615,3
12_05,0.5,0.05,60,-0.013249470189397749,0.000884723989130966,3
12_05,0.5,0.1,20,-0.020129415765570275,0.0002480739708569807,3
12_05,0.5,0.1,30,-0.01916683677340239,0.00023967364919220133,3
12_05,0.5,0.1,40,-0.017690635661637748,0.0004360309019859139,3
12_05,0.5,0.1,50,-0.014022353970820875,0.0008760742730557005,3
12_05,0.5,0.1,60,-0.012996416487478268,0.0008067299846153286,3
12_05,0.5,0.2,20,-0.019571155180042484,0.00037621566686039584,3
12_05,0.5,0.2,30,-0.0185137018243218,0.0003131102442261505,3
12_05,0.5,0.2,40,-0.016777580643394095,0.000546614041174866,3
12_05,0.5,0.2,50,-0.01338010217884287,0.0007853052693583551,3
12_05,0.5,0.2,60,-0.012581138598455522,0.0006795609716214609,3
12_05,1.0,0.005,20,-0.028816805755838188,0.0010705617748758038,4
12_05,1.0,0.005,30,-0.027241635081746374,0.0009775469522330874,4
12_05,1.0,0.005,40,-0.02416438295005613,0.003485670833127608,4
12_05,1.0,0.005,50,-0.020556491065418656,0.0029384042034568095,4
12_05,1.0,0.005,60,-0.017897972735838225,0.0005315686310187942,4
12_05,1.0,0.01,20,-0.0286907152264529,0.0011317145755739468,4
12_05,1.0,0.01,30,-0.02712444190856797,0.0010357528820146955,4
12_05,1.0,0.01,40,-0.02407056071341873,0.003564413119477804,4
12_05,1.0,0.01,50,-0.02044433691020743,0.0029402163606209197,4
12_05,1.0,0.01,60,-0.01784782158342307,0.000520785576506608,4
12_05,1.0,0.02,20,-0.028111581636004492,0.0010917483621120472,4
12_05,1.0,0.02,30,-0.02664217151398734,0.0009954573314546755,4
12_05,1.0,0.02,40,-0.02365283740324204,0.003470428056471506,4
12_05,1.0,0.02,50,-0.020053894258046878,0.002827245724517733,4
12_05,1.0,0.02,60,-0.017710912536620757,0.0005119458467613548,4
12_05,1.0,0.05,20,-0.027567175712341765,0.0011261244379278817,4
12_05,1.0,0.05,30,-0.026101465045252688,0.001004967189509535,4
12_05,1.0,0.05,40,-0.02307821245139011,0.0033930371833277937,4
12_05,1.0,0.05,50,-0.019505848384230178,0.0026576610028056728,4
12_05,1.0,0.05,60,-0.01743744569192522,0.0005080707545378735,4
12_05,1.0,0.1,20,-0.02696071965443816,0.0011537842270913448,4
12_05,1.0,0.1,30,-0.02543887222433796,0.0010028761755802708,4
12_05,1.0,0.1,40,-0.022343752901726067,0.003299865508528455,4
12_05,1.0,0.1,50,-0.018854961678977107,0.0024286135482101045,4
12_05,1.0,0.1,60,-0.017048052964478557,0.0005189648596552824,4
12_05,1.0,0.2,20,-0.025793581957725843,0.001123611184232178,4
12_05,1.0,0.2,30,-0.024181982663796744,0.0009371394105216687,4
12_05,1.0,0.2,40,-0.0209864047812227,0.0030299822243080236,4
12_05,1.0,0.2,50,-0.017764627636927835,0.0019298844795778447,4
12_05,1.0,0.2,60,-0.01637139157192992,0.0005857685815634559,4
12_13,0.25,0.005,20,-0.02225789697268156,0.0009385365582873848,4
12_13,0.25,0.005,30,-0.02085008665157676,0.000787148712912917,4
12_13,0.25,0.005,40,-0.01942361482136417,0.0007325017752208656,4
12_13,0.25,0.005,50,-0.017977378614055108,0.0008928611405526105,4
12_13,0.25,0.005,60,-0.01680731759904324,0.0012915155197747651,4
12_13,0.25,0.01,20,-0.022018271561855613,0.0008603664419545699,4
12_13,0.25,0.01,30,-0.020657916240878177,0.0007541803199683193,4
12_13,0.25,0.01,40,-0.019257107247080112,0.0007048165103569818,4
12_13,0.25,0.01,50,-0.017840850386078053,0.000831317900107916,4
12_13,0.25,0.01,60,-0.016697029781746434,0.001220916373549097,4
12_13,0.25,0.02,20,-0.021742244114610305,0.0008324355768241159,4
12_13,0.25,0.02,30,-0.020419741027261788,0.0007368005108946376,4
12_13,0.25,0.02,40,-0.019038102126878897,0.0006858385742487848,4
12_13,0.25,0.02,50,-0.017658450434595352,0.0008009598663540022,4
12_13,0.25,0.02,60,-0.016553080904579447,0.0011824416283866311,4
12_13,0.25,0.05,20,-0.02150176382564329,0.0007778358215008838,4
12_13,0.25,0.05,30,-0.020146559931289887,0.000691050649439445,4
12_13,0.25,0.05,40,-0.018731287911835405,0.000639830613754305,4
12_13,0.25,0.05,50,-0.017368043873687546,0.0007603735102668711,4
12_13,0.25,0.05,60,-0.01630594553072642,0.0011423920427464187,4
12_13,0.25,0.1,20,-0.02115768544899499,0.0007556370282316416,4
