sheet,concentration_mM,trial,curvefit_single,global_opt_single,numerical_deriv,linear_early,constrained_double
12_05,0.25,0,-0.008344560686431824,-0.008344538222699753,-0.016960357729192223,-0.013845430138723549,-0.015358081771909789
12_05,0.25,1,-0.0084780357093054,-0.00847803242168754,-0.01704307524858667,-0.013415958029993968,-0.014327641602102648
12_05,0.25,2,-0.008874202354844044,-0.008874217142923106,-0.01708400351052165,-0.0139228694538994,-0.01627929363918478
12_05,0.5,0,-0.009807148075897186,-0.009807234162265543,-0.019273989401593195,-0.01556758050332901,-0.018936567426879734
12_05,0.5,1,-0.009836570199086934,-0.009836539353712499,-0.018786656759309444,-0.015130303899693123,-0.01804748830340299
12_05,0.5,2,-0.009680493442916112,-0.009680526727577455,-0.01798551973126964,-0.014790959519522405,-0.01850487140444181
12_05,1.0,0,-0.013429039312745349,-0.013429125802988504,-0.024465385455509532,-0.018600953776762158,-0.0247713772724947
12_05,1.0,1,-0.013477370780996117,-0.013477404131200266,-0.025100232419282015,-0.01957566160785323,-0.02563503718042353
12_05,1.0,2,-0.013188282852986268,-0.01318850247829502,-0.02481096503652349,-0.018944325853786942,-0.02571699878232457
12_05,1.0,3,-0.012794305938904453,-0.012794356655648835,-0.023338126727946013,-0.018899231630644803,-0.018486988790735855
12_13,0.25,0,-0.009861817288228025,-0.009861885135289114,-0.019803785430799328,-0.01658984178695557,-0.01891876245014651
12_13,0.25,1,-0.009943985472853939,-0.009943996640789533,-0.01993913562258616,-0.016702209838066126,-0.019670666756973293
12_13,0.25,2,-0.009361052556541271,-0.00936095452109886,-0.01788050066405123,-0.01580681184683581,-0.01812356208977305
12_13,0.25,3,-0.010045683447406625,-0.010045708670959025,-0.021260626071202087,-0.017071667829176816,-0.01943848220983719
12_13,0.5,0,-0.011959511601933717,-0.011959567893395568,-0.023940204434471257,-0.01939896495121646,-0.023812256094463396
12_13,0.5,1,-0.011780929199991469,-0.011780964306452337,-0.023144504698455432,-0.01952125187387464,-0.024121430359404276
12_13,0.5,2,-0.011984885510763843,-0.011984867225892263,-0.02333785583465025,-0.01969184465833569,-0.02388525040596174
12_13,0.5,3,-0.012161675985657393,-0.012161619225552603,-0.023267540667649862,-0.019683963509544343,-0.024534507014715358
12_13,1.0,0,-0.01598731328342494,-0.015987338155763312,-0.02898697127661333,-0.023683097585049703,-0.03208237324598886
12_13,1.0,1,-0.016168265074598075,-0.01616819484315683,-0.02862082802301028,-0.024073849755035407,-0.03306871826794288
12_13,1.0,2,-0.016101274729335615,-0.01610136593971115,-0.029313018066917176,-0.02370961082031741,-0.03212655313954173
12_13,1.0,3,-0.016023653027621217,-0.016023627008298964,-0.029816117073125113,-0.023910717043435625,-0.03226033873172728
01_14,0.25,0,-0.008674599252629091,-0.008674635734166438,-0.016559063411913353,-0.013291605938971215,-0.015537087814966204
01_14,0.25,1,-0.00874748291334009,-0.008747491451187181,-0.017244352009842295,-0.013651431167634768,-0.015578872367521044
01_14,0.25,2,-0.008493372966728823,-0.008493411688865598,-0.01857372100848703,-0.01368320670945821,-0.014939898641134125
01_14,0.25,3,-0.008495525058681837,-0.0084955447835271,-0.016823642728583565,-0.013414858805864797,-0.013191975496382504
01_14,0.25,4,-0.008625956405627978,-0.00862598559203386,-0.01642186590722463,-0.013398356673266857,-0.015449817235821364
01_14,0.25,5,-0.008647807032155242,-0.008647761249503078,-0.016951490671053462,-0.013294331871721092,-0.014455105337713731
01_14,0.5,0,-0.010973178486625717,-0.01097319507137584,-0.019803482717157643,-0.016497623038398735,-0.019580824345610523
01_14,0.5,1,-0.011034993669752753,-0.01103500716787841,-0.021802992534205423,-0.016990553687151192,-0.01991683311125971
01_14,0.5,2,-0.011078013120778907,-0.011078073425958946,-0.019534707722423286,-0.016510535732650607,-0.020443838471934782
01_14,0.5,3,-0.010504349286009719,-0.010504337848704645,-0.020330501810726917,-0.01648983507103674,-0.016466849174379253
01_14,0.5,4,-0.011124475624275728,-0.011124500395240091,-0.02009147263672083,-0.01640412053850341,-0.01970206973672331
01_14,0.5,5,-0.011163413260978272,-0.011163536400614406,-0.020123144023582694,-0.016603438535356847,-0.020338108379999442
01_14,1.0,0,-0.015786828377855826,-0.015786849668199376,-0.02350217233502779,-0.020972116415321207,-0.028564859812974082
01_14,1.0,1,-0.015931200385210065,-0.01593127186046463,-0.02542906516436723,-0.020986005682939807,-0.02895830654013866
01_14,1.0,2,-0.01560333738257157,-0.015603393416468169,-0.025603162315301044,-0.020857355446948257,-0.028022231987076332
01_14,1.0,3,-0.016068714228566965,-0.016068784291055422,-0.028755177414122837,-0.021994480444106793,-0.030716095394199977
01_14,1.0,4,-0.0161076583139962,-0.016107644458887377,-0.025772413351977056,-0.02116675585492352,-0.02915061885511782
01_14,1.0,5,-0.01607803710628921,-0.01607805334918345,-0.026793894571673738,-0.02143977039726739,-0.029791475390681735
