sheet,concentration_mM,trial,dydt0_single,k_single,k_single_err,r2_single,dydt0_double,k1_double,k2_double,k1_err,k2_err,r2_double,k_ratio
12_05,0.25,0,-0.008344560686431824,0.15758484711708906,0.00035692135020514777,0.989529819851403,-0.015358417138450287,0.5810644604870588,0.09775378048424337,0.003209001541501805,0.00033598336932754997,0.9991170006501189,5.9441635669601425
12_05,0.25,1,-0.0084780357093054,0.160262523967361,0.00035709608202798927,0.9898357168536398,-0.014327756396104287,0.4961990008566974,0.09152960986323212,0.0034119831893213415,0.0005167360221993264,0.9985949655008337,5.421185576974942
12_05,0.25,2,-0.008874202354844044,0.16727682353472373,0.0003368892301941076,0.9916345658539241,-0.01627944808356089,0.6595672981021203,0.11478420957202908,0.002725013673432603,0.00021353157365127504,0.9996137295644119,5.746150106894541
12_05,0.5,0,-0.009807148075897186,0.18851145297992436,0.00044500072579629283,0.9884702966145887,-0.018936745748392783,0.6919582270805554,0.11923430053099374,0.002694908920985588,0.0002572514167502471,0.9994843968712376,5.803348734374367
12_05,0.5,1,-0.009836570199086934,0.19503537188733966,0.000437981773154024,0.9895556257038559,-0.01804797114420382,0.6765336690875136,0.12524325431474662,0.0036340937217759087,0.00036270999843926867,0.9991386111740623,5.40175734644621
12_05,0.5,2,-0.009680493442916112,0.19579729221596626,0.0004267658626557095,0.9901553053290467,-0.018504982915058886,0.7499126739977552,0.13252775672772274,0.0029204558813640024,0.00023091715320390852,0.9995701425299566,5.65853291803954
12_05,1.0,0,-0.013429039312745349,0.27064424642161855,0.000614511340688199,0.98944051114697,-0.02477159089044415,0.86736839038885,0.17350812842286537,0.0032369474812621825,0.0003197051325432283,0.9994882389785533,4.999007241176293
12_05,1.0,1,-0.013477370780996117,0.26756725108518725,0.000671808294166575,0.9871186560003733,-0.02563560750123021,0.8580987695736441,0.16432083030652947,0.004578875373357724,0.0004772295087575933,0.9987603116564244,5.222093680837167
12_05,1.0,2,-0.013188282852986268,0.26680243497392325,0.000635238231003136,0.9884017315808683,-0.025717245162969804,0.9178296030808396,0.1719507493069353,0.0032097420361657967,0.00028473657596688785,0.9995117299650508,5.337747039662482
12_05,1.0,3,-0.012794305938904453,0.2547167647534885,0.0007248880724776608,0.9835030215506918,-0.018486906058324003,0.425362312290368,0.04085481983343565,0.0014814720814238678,0.000989170623855845,0.9974789935484435,10.411557657690388
12_13,0.25,0,-0.009861817288228025,0.14787155838048074,0.000319341607810296,0.9905989853041731,-0.018919043402944608,0.6273505740361411,0.09767601283649897,0.0024011569728134875,0.00018985777167159943,0.9996223751215979,6.422770092860676
12_13,0.25,1,-0.009943985472853939,0.1477655643048863,0.0003192585500989431,0.9905921651876464,-0.019670927513376357,0.6692448996001722,0.10034690791458743,0.002551628529546059,0.00017545952817963635,0.9996305347261063,6.669312622665118
12_13,0.25,2,-0.009361052556541271,0.139268181879991,0.00030451825757699623,0.9905313596348775,-0.018123760580779955,0.609931538319306,0.09089516506328428,0.0021720792857306812,0.00017096850705364207,0.9996686469082463,6.71027483029104
